Station,Borough,2013,2014,2015,2016,2017,2018,change_2018_raw,change_2018_percent,2018 Rank
170 St ,Bronx,"2,961,575","2,941,958","3,045,205","3,038,777","2,785,331","2,562,443","-222,888",-8.00%,183
170 St ,Bronx,"2,174,082","2,297,459","2,286,670","2,317,558","2,270,027","2,454,974","184,947",8.10%,192
174 St ,Bronx,"2,301,756","2,374,812","2,313,651","2,411,413","2,334,317","2,056,692","-277,625",-11.90%,228
174-175 Sts,Bronx,"1,598,189","1,719,504","1,695,879","1,752,387","1,735,321","1,005,075","-730,246",-42.10%,352
176 St ,Bronx,"1,837,995","1,848,854","1,969,221","2,036,529","1,943,854","1,803,691","-140,163",-7.20%,258
182-183 Sts ,Bronx,"1,520,856","1,604,218","1,643,266","1,682,092","1,577,144","1,502,814","-74,330",-4.70%,293
183 St ,Bronx,"2,002,633","2,007,140","2,057,944","2,071,316","2,001,410","1,831,457","-169,953",-8.50%,255
219 St ,Bronx,"1,099,491","1,124,522","1,108,859","1,049,128","1,044,200","1,026,894","-17,306",-1.70%,348
225 St ,Bronx,"1,400,377","1,445,591","1,439,495","1,365,544","1,323,910","1,224,369","-99,541",-7.50%,326
231 St ,Bronx,"2,757,855","2,912,283","2,966,015","3,013,521","3,013,031","3,133,231","120,200",4.00%,158
233 St ,Bronx,"1,719,181","1,803,693","1,762,923","1,688,487","1,565,455","1,496,673","-68,782",-4.40%,296
238 St ,Bronx,"1,092,492","1,209,623","1,240,616","1,327,862","1,335,877","960,970","-374,907",-28.10%,362
3 Av-138 St ,Bronx,"2,443,326","2,534,036","2,531,974","2,509,085","2,515,479","2,451,972","-63,507",-2.50%,193
3 Av-149 St ,Bronx,"7,310,115","7,763,151","7,363,663","7,609,968","7,458,222","6,784,053","-674,169",-9.00%,58
Allerton Av ,Bronx,"1,747,352","1,829,712","1,821,628","1,733,740","1,678,247","1,603,702","-74,545",-4.40%,279
Baychester Av ,Bronx,"1,234,050","1,186,372","1,137,693","1,112,259","1,054,373","1,006,343","-48,030",-4.60%,351
Bedford Park Blvd ,Bronx,"2,040,887","2,136,860","2,196,065","2,240,256","2,220,298","1,984,267","-236,031",-10.60%,238
Bedford Park Blvd-Lehman College ,Bronx,"1,853,706","1,827,260","1,863,892","1,812,036","1,716,853","1,575,555","-141,298",-8.20%,281
Bronx Park East ,Bronx,"914,831","933,109","877,311","841,547","799,927","752,916","-47,011",-5.90%,384
Brook Av ,Bronx,"1,970,010","2,002,825","1,981,721","1,964,831","1,938,814","1,895,570","-43,244",-2.20%,248
Buhre Av ,Bronx,"1,111,659","637,600","661,527","1,048,776","1,094,122","1,110,307","16,185",1.50%,339
Burke Av ,Bronx,"1,133,298","1,158,787","1,139,826","1,099,582","1,064,119","997,617","-66,502",-6.20%,354
Burnside Av ,Bronx,"3,560,191","3,558,297","3,641,720","3,617,308","3,442,348","3,198,218","-244,130",-7.10%,155
Castle Hill Av ,Bronx,"1,756,879","1,491,030","2,174,412","2,100,194","2,071,819","2,000,084","-71,735",-3.50%,235
Cypress Av ,Bronx,"1,186,696","1,226,878","1,228,311","1,265,930","1,230,910","1,113,667","-117,243",-9.50%,338
East 143 St-St Mary's St ,Bronx,"273,895","279,012","298,462","313,386","285,667","301,240","15,573",5.50%,416
